,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
393,Sulbactam,S1958,[H][C@@]12CC(=O)N1[C@@]([H])(C(O)=O)C(C)(C)S2(=O)=O |r|,L1300-05,b6
394,Tolfenamic acid,S1959,"CC1=C(Cl)C=CC=C1NC1=C(C=CC=C1)C(O)=O |c:1,4,6,12,14,t:10|",L1300-05,c6
395,Pranoprofen,S1960,"CC(C(O)=O)C1=CC2=C(OC3=NC=CC=C3C2)C=C1 |c:12,14,19,t:5,7,10|",L1300-05,d6
396,Sulphadimethoxine,S1962,"COC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(OC)=N1 |c:14,16,20,t:2,9,11|",L1300-05,e6
397,Rimantadine (Flumadine),S1964,CC(N)C12CC3CC(CC(C3)C1)C2,L1300-05,f6
398,Primidone (Mysoline),S1965,"CCC1(C(=O)NCNC1=O)C1=CC=CC=C1 |c:13,15,t:11|",L1300-05,g6
399,Nefiracetam (Translon),S1969,"CC1=CC=CC(C)=C1NC(=O)CN1CCCC1=O |c:3,6,t:1|",L1300-05,h6
400,Nicorandil (Ikorel),S1971,"[O-][N+](=O)OCCNC(=O)C1=CC=CN=C1 |c:11,13,t:9|",L1300-05,a7
401,Tamoxifen Citrate (Nolvadex),S1972,"OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(C1=CC=CC=C1)=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1 |c:17,19,25,27,40,t:15,23,30,32|",L1300-05,b7
402,Meglumine,S1974,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO |r|,L1300-05,c7
403,Aripiprazole (Abilify),S1975,"ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl |c:3,25,30,t:1,15,17|",L1300-05,d7
404,Methscopolamine (Pamine),S1978,"[Br-].[H][C@]12O[C@@]1([H])[C@]1([H])C[C@@H](C[C@@]2([H])[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1 |r,c:26,28,t:24|",L1300-05,e7
405,Amiodarone HCl,S1979,"Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2 |c:4,22,25,29,31,t:8,11|",L1300-05,f7
406,Adenine hydrochloride,S1983,"Cl.NC1=NC=NC2=C1N=CN2 |c:3,5,8,t:1|",L1300-05,g7
407,Mometasone furoate,S1987,"[H][C@@]12C[C@@H](C)[C@](OC(=O)C3=CC=CO3)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:11,36,t:9,32|",L1300-05,h7
408,Propylthiouracil,S1988,CCCC1=CC(=O)NC(=S)N1 |t:3|,L1300-05,a8
409,"Fluticasone propionate (Flonase, Veramyst)",S1992,"[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C |r,c:34,t:30|",L1300-05,b8
410,"Lacidipine (Lacipil, Motens)",S1994,"CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(\C=C\C(=O)OC(C)(C)C)C=CC=C1)C(=O)OCC |c:5,10,14,25,27|",L1300-05,c8
411,Elvitegravir (GS-9137),S2001,"COC1=CC2=C(C=C1CC1=C(F)C(Cl)=CC=C1)C(=O)C(=CN2[C@H](CO)C(C)C)C(O)=O |r,c:4,6,10,14,16,21,t:2|",L1300-05,d8
412,Maraviroc,S2003,"CC(C)C1=NN=C(C)N1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1 |r,c:37,39,t:3,5,35|",L1300-05,e8
413,Raltegravir (MK-0518),S2005,"CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1 |c:5,7,32,t:16,18,27,29|",L1300-05,f8
414,Pyrimethamine,S2006,"CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1 |c:5,8,16,t:2,11,13|",L1300-05,g8
415,Sulindac (Clinoril),S2007,"CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)C\1=C/C1=CC=C(C=C1)S(C)=O |c:1,9,12,20,22,t:7,18|",L1300-05,h8
416,Pramipexole dihydrochloride monohydrate,S2011,"O.Cl.Cl.CCCN[C@H]1CCC2=C(C1)SC(N)=N2 |r,c:7,13|",L1300-05,a9
417,Suplatast tosylate,S2015,"CC1=CC=C(C=C1)S([O-])(=O)=O.CCOCC(O)COC1=CC=C(NC(=O)CC[S+](C)C)C=C1 |c:3,5,31,t:1,19,21|",L1300-05,b9
418,"Mirtazapine (Remeron, Avanza)",S2016,"CN1CCN2C(C1)C1=C(CC3=C2N=CC=C3)C=CC=C1 |c:8,11,14,16,19,21|",L1300-05,c9
419,Benidipine hydrochloride,S2017,"Cl.COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(CC2=CC=CC=C2)C1 |r,c:4,9,15,17,34,36,t:13,32|",L1300-05,d9
420,Formoterol hemifumarate,S2020,"OC(=O)\C=C\C(O)=O.COC1=CC=C(C[C@H](C)NC[C@@H](O)C2=CC=C(O)C(NC=O)=C2)C=C1.COC1=CC=C(C[C@H](C)NC[C@@H](O)C2=CC=C(O)C(NC=O)=C2)C=C1 |r,c:28,31,54,57,t:9,11,20,22,35,37,46,48|",L1300-05,e9
421,Chlormezanone (Trancopal),S2021,"CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O |c:8,t:3,5|",L1300-05,f9
422,Ketotifen fumarate (Zaditor),S2024,"OC(=O)\C=C\C(O)=O.CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=C1C=CC=C2 |c:19,25,28,30,t:16|",L1300-05,g9
423,Urapidil HCl,S2025,"Cl.COC1=CC=CC=C1N1CCN(CCCNC2=CC(=O)N(C)C(=O)N2C)CC1 |c:4,6,t:2,17|",L1300-05,h9
424,Ginkgolide A,S2026,[H][C@]12CC34[C@@]5([H])C[C@@H](C(C)(C)C)C33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]1(O)[C@H](C)C(=O)O2 |r|,L1300-05,a10
425,Diclazuril,S2028,"ClC1=CC=C(C=C1)C(C#N)C1=C(Cl)C=C(C=C1Cl)N1N=CC(=O)NC1=O |c:3,5,11,14,16,21,t:1|",L1300-05,b10
426,Uridine,S2029,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O |r,c:11|",L1300-05,c10
427,Flunarizine 2HCl,S2030,"Cl.Cl.FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1 |c:3,5,18,20,31,t:1,16,26,28|",L1300-05,d10
428,Fenticonazole nitrate,S2031,"O[N+]([O-])=O.ClC1=CC=C(C(CN2C=CN=C2)OCC2=CC=C(SC3=CC=CC=C3)C=C2)C(Cl)=C1 |c:11,13,25,27,30,34,t:4,6,18,20,23|",L1300-05,e10
429,Rebamipide,S2032,"OC(=O)C(CC1=CC(=O)NC2=C1C=CC=C2)NC(=O)C1=CC=C(Cl)C=C1 |c:10,13,15,26,t:5,21,23|",L1300-05,f10
430,Epalrestat,S2035,"CC(\C=C1/SC(=S)N(CC(O)=O)C1=O)=C/C1=CC=CC=C1 |c:18,20,t:16|",L1300-05,g10
431,Aspartame,S2036,"COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O |r,c:8,10,t:6|",L1300-05,h10
432,Candesartan cilexetil (Atacand),S2037,"CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1 |c:5,12,14,19,21,26,30,32,t:3,10,17,24|",L1300-05,a11
433,Phentolamine mesilate,S2038,"CS(O)(=O)=O.CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1 |c:7,9,23,25,t:5,14,20|",L1300-05,b11
434,Nimesulide,S2040,"CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O |c:5,10,12,15,17,t:8|",L1300-05,c11
435,Dyclonine HCl,S2041,"Cl.CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1 |c:7,9,t:5|",L1300-05,d11
436,Memantine HCl (Namenda),S2043,Cl.CC12CC3CC(C)(C1)CC(N)(C3)C2,L1300-05,e11
437,Cyproheptadine HCl (Periactin),S2044,"Cl.CN1CCC(CC1)=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2 |c:11,13,16,18,21,23,t:9|",L1300-05,f11
438,Doxifluridine,S2045,"C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O |r,t:10|",L1300-05,g11
439,Pioglitazone hydrochloride (Actos),S2046,"Cl.CCC1=CC=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)N=C1 |c:22,25,t:2,4,9,11|",L1300-05,h11
440,Lornoxicam (Xefo),S2047,"CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O |c:8,10,t:6,12,15,17|",L1300-06,a1
441,Captopril (Capoten),S2051,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O |r|,L1300-06,b1
442,Oxytetracycline dihydrate,S2052,"O.O.[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C |r,c:9,12,14,t:20,31|",L1300-06,c1
443,Cytidine,S2053,"NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O |r,c:6,t:1|",L1300-06,d1
444,Orphenadrine citrate (Norflex),S2054,"OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C |c:21,23,28,30,t:19,26|",L1300-06,e1
445,Gimeracil,S2055,"OC1=CC(=O)NC=C1Cl |c:6,t:1|",L1300-06,f1
446,Cyclophosphamide monohydrate,S2057,O.ClCCN(CCCl)P1(=O)NCCCO1,L1300-06,g1
447,Tolnaftate,S2058,"CN(C(=S)OC1=CC=C2C=CC=CC2=C1)C1=CC(C)=CC=C1 |c:9,11,14,20,22,t:5,7,17|",L1300-06,h1
448,Terazosin HCl (Hytrin),S2059,"O.O.Cl.COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N1CCN(CC1)C(=O)C1CCCO1 |c:4,6,12,14,t:2|",L1300-06,a2
449,Bromhexine HCl,S2060,"Cl.CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1 |c:6,9,t:3|",L1300-06,b2
450,Lovastatin (Mevacor),S2061,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |r,c:6,9|",L1300-06,c2
451,Tiopronin (Thiola),S2062,CC(S)C(=O)NCC(O)=O,L1300-06,d2
452,Balofloxacin,S2064,"CNC1CCCN(C1)C1=C(OC)C2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O |c:9,13,15,21|",L1300-06,e2
453,Lafutidine,S2065,"O=C(CS(=O)CC1=CC=CO1)NC\C=C/COC1=CC(CN2CCCCC2)=CC=N1 |c:8,28,30,t:6,18|",L1300-06,f2
454,Moxonidine,S2066,"COC1=NC(C)=NC(Cl)=C1NC1=NCCN1 |c:5,8,t:2,12|",L1300-06,g2
455,Ozagrel HCl,S2067,"Cl.OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1 |c:11,13,16,t:5,7|",L1300-06,h2
456,Argatroban,S2069,"[H][C@@](CCCNC(N)=N)(NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2)C(=O)N1CC[C@@H](C)C[C@@H]1C(O)=O |r,c:15,17,t:13|",L1300-06,a3
457,Mecarbinate,S2074,"CCOC(=O)C1=C(C)N(C)C2=CC=C(O)C=C12 |c:5,t:10,12,15|",L1300-06,b3
458,Rosiglitazone HCl,S2075,"Cl.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1 |c:18,23,25,t:5,7,21|",L1300-06,c3
459,Atorvastatin calcium (Lipitor),S2077,"[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1 |r,c:3,10,12,15,35,40,42,47,54,56,59,79,84,86,t:8,30,32,38,52,74,76,82|",L1300-06,d3
460,Famotidine (Pepcid),S2078,"NC(=N)NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1 |c:17,t:4|",L1300-06,e3
461,Moexipril HCl,S2079,"Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O |r,c:10,12,30,t:8,22,26|",L1300-06,f3
462,Cleviprex (Clevidipine),S2080,"CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC |c:10,15,21,24,t:19|",L1300-06,g3
463,Adiphenine HCl,S2082,"Cl.CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1 |c:13,15,20,22,t:11,18|",L1300-06,h3
464,Duloxetine HCl (Cymbalta),S2084,"Cl.CNCC[C@H](OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1 |r,c:6,8,10,13,15,20,t:18|",L1300-06,a4
465,Trimebutine,S2085,"CCC(COC(=O)C1=CC(OC)=C(OC)C(OC)=C1)(N(C)C)C1=CC=CC=C1 |c:17,25,27,t:7,11,23|",L1300-06,b4
466,Ivabradine HCl (Procoralan),S2086,"Cl.COC1=CC2=C(CC(=O)N(CCCN(C)C[C@H]3CC4=CC(OC)=C(OC)C=C34)CC2)C=C1OC |r,c:33,t:2,4,18,22,26|",L1300-06,c4
467,Rivastigmine tartrate (Exelon),S2087,"O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C |r,c:18,20,t:16|",L1300-06,d4
468,Dexmedetomidine HCl (Precedex),S2090,"Cl.C[C@H](C1=CN=CN1)C1=CC=CC(C)=C1C |r,c:4,10,13,t:2,8|",L1300-06,e4
469,Betaxolol (Betoptic),S2091,"CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1 |c:21,t:9,11|",L1300-06,f4
470,Detomidine HCl,S2092,"Cl.CC1=C(C)C(CC2=CNC=N2)=CC=C1 |c:1,9,11,13,t:6|",L1300-06,g4
471,Almotriptan malate (Axert),S2096,"OC(CC(O)=O)C(O)=O.CN(C)CCC1=CNC2=CC=C(CS(=O)(=O)N3CCCC3)C=C12 |t:13,16,18,30|",L1300-06,h4
472,Ambrisentan,S2097,"COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1 |r,c:8,11,19,21,26,28,t:5,17,24|",L1300-06,a5
473,Bexarotene,S2098,"CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C |c:3,5,12,14,t:1,10|",L1300-06,b5
474,Temocapril HCl,S2099,"Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CS[C@@H](CN(CC(O)=O)C1=O)C1=CC=CS1 |r,c:10,12,31,t:8,29|",L1300-06,c5
475,Gabexate mesylate,S2101,"CS(O)(=O)=O.CCOC(=O)C1=CC=C(OC(=O)CCCCCNC(N)=N)C=C1 |c:25,t:9,11|",L1300-06,d5
476,Rasagiline mesylate,S2102,"CS(O)(=O)=O.C#CCN[C@@H]1CCC2=CC=CC=C12 |r,c:13,t:11,15|",L1300-06,e5
477,Naltrexone HCl,S2103,"Cl.OC1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O |r,c:19,t:1,3|",L1300-06,f5
478,Levosulpiride (Levogastrol),S2104,"CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O |r,c:12,16,18|",L1300-06,g5
479,Flunixin meglumin,S2108,"CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CC1=C(C=CC=C1NC1=NC=CC=C1C(O)=O)C(F)(F)F |r,c:15,17,23,25,t:13,21|",L1300-06,h5
480,Imidapril (Tanatril) HCl,S2109,"CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@@H](CN(C)C1=O)C(O)=O |r,c:10,12,t:8|",L1300-06,a6
481,Lapatinib,S2111,"CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC=C2N=CN=C(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)C2=C1 |c:10,18,31,34,38,42,t:8,14,16,20,23,25,29|",L1300-06,b6
482,Cisatracurium besylate (Nimbex),S2113,"[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC=C(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC=C(OC)C(OC)=C2)C=C1OC |r,c:6,8,16,18,36,71,85,88,t:4,14,22,24,28,32,63,67,77,79|",L1300-06,c6
483,Dronedarone HCl (Multaq),S2114,"Cl.CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=CC=C(NS(C)(=O)=O)C=C12 |c:15,17,22,t:13,29,31,38|",L1300-06,d6
484,Conivaptan HCl (Vaprisol),S2116,"Cl.CC1=NC2=C(N1)C1=C(C=CC=C1)N(CC2)C(=O)C1=CC=C(NC(=O)C2=C(C=CC=C2)C2=CC=CC=C2)C=C1 |c:3,9,11,29,31,36,38,41,t:1,7,20,22,27,34|",L1300-06,e6
485,Ibutilide fumarate,S2118,"OC(=O)\C=C\C(O)=O.CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1.CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1 |c:31,57,t:22,24,48,50|",L1300-06,f6
486,Probucol,S2119,"CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C |c:9,26,t:4,6,21,23|",L1300-06,g6
487,Arbidol HCl,S2120,"Cl.CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12 |c:5,11,13,t:9,18,21,28|",L1300-06,h6
488,Licofelone,S2121,"CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1 |c:9,11,18,20,28,t:16,23,25|",L1300-06,a7
489,Dextrose (D-glucose),S2123,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O |r|,L1300-06,b7
490,Xylose,S2124,OC[C@@H](O)[C@H](O)[C@@H](O)C=O |r|,L1300-06,c7
491,Mestranol,S2125,"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3 |r,c:15,27,t:23|",L1300-06,d7
492,Naftopidil (Flivas),S2126,"COC1=CC=CC=C1N1CCN(CC(O)COC2=C3C=CC=CC3=CC=C2)CC1 |c:4,6,18,20,22,25,27,t:2|",L1300-06,e7
493,S-(+)-Rolipram,S2127,"COC1=C(OC2CCCC2)C=C(C=C1)[C@H]1CNC(=O)C1 |r,c:2,11,13|",L1300-06,f7
494,Bazedoxifene HCl,S2128,"Cl.CC1=C(N(CC2=CC=C(OCCN3CCCCCC3)C=C2)C2=CC=C(O)C=C12)C1=CC=C(O)C=C1 |c:20,37,t:1,5,7,23,25,28,32,34|",L1300-06,g7
495,Atropine sulfate monohydrate,S2130,"O.OS(O)(=O)=O.[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)N2C.[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)N2C |r,c:22,24,47,49,t:20,45|",L1300-06,h7
496,Roflumilast (Daxas),S2131,"FC(F)OC1=CC=C(C=C1OCC1CC1)C(=O)NC1=C(Cl)C=NC=C1Cl |c:6,8,20,23,25,t:4|",L1300-06,a8
497,Sitafloxacin Hydrate,S2152,"[*].N[C@@H]1CN(CC11CC1)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O |r,$1.5H2O_R0;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,c:10,13,15,21|",L1300-06,b8
498,BIBR-1048 (Dabigatran),S2154,"CCCCCCOC(=O)\N=C(\N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1 |c:22,24,39,41,47,t:12,14,18,20,37|",L1300-06,c8
499,Tebipenem pivoxil (L-084),S2159,"[H][C@]12[C@@H](C)C(SC3CN(C3)C3=NCCS3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(=O)OCOC(=O)C(C)(C)C |r,c:16,t:11|",L1300-06,d8
500,Rosuvastatin calcium (Crestor),S2169,"[Ca++].CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1.CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1 |r,c:3,16,18,32,37,50,52,66,t:27,29,61,63|",L1300-06,e8
501,Aliskiren hemifumarate,S2199,"OC(=O)\C=C\C(O)=O.COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1.COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1 |r,c:13,17,44,52,56,83|",L1300-06,f8
502,OSI-420 (Desmethyl Erlotinib),S2205,"Cl.COCCOC1=CC2=C(C=C1OCCO)C(NC1=CC=CC(=C1)C#C)=NC=N2 |c:7,9,20,22,26,28,t:5,18|",L1300-06,g8
503,DAPT (GSI-IX),S2215,"C[C@H](NC(=O)CC1=CC(F)=CC(F)=C1)C(=O)N[C@H](C(=O)OC(C)(C)C)C1=CC=CC=C1 |r,c:9,12,28,30,t:6,26|",L1300-06,h8
504,Irinotecan HCl Trihydrate (Campto),S2217,"O.O.O.Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12 |r,c:2,6,23,t:8,25,27,46|",L1300-06,a9
505,Apatinib (YN968D1),S2221,"CS(O)(=O)=O.O=C(NC1=CC=C(C=C1)C1(CCCC1)C#N)C1=CC=CN=C1NCC1=CC=NC=C1 |c:9,11,24,26,33,35,t:7,22,31|",L1300-06,b9
506,TAME,S2225,"COC(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=C(C)C=C1 |r,c:21,t:16,18|",L1300-06,c9
507,Eltrombopag (SB-497115-GR),S2229,"NCCO.NCCO.CC1=NN(C(=O)C\1=N/NC1=CC=CC(C2=CC(=CC=C2)C(O)=O)=C1O)C1=CC=C(C)C(C)=C1 |c:18,23,25,30,40,t:7,16,21,34,36|",L1300-06,d9
508,Esomeprazole sodium (Nexium),S2233,"[Na+].COC1=CC=C2[N-]C(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C |c:7,10,23,t:2,4,16,18|",L1300-06,e9
509,Fesoterodine fumarate (Toviaz),S2240,"OC(=O)\C=C\C(O)=O.CC(C)N(CC[C@H](C1=CC=CC=C1)C1=CC(CO)=CC=C1OC(=O)C(C)C)C(C)C |r,c:16,18,25,27,t:14,21|",L1300-06,f9
510,Artemether (SM-224),S2264,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4 |r|,L1300-06,g9
511,DL-Carnitine hydrochloride,S2293,[Cl-].C[N+](C)(C)CC(O)CC(O)=O,L1300-06,h9
512,Nalidixic acid (NegGram),S2328,"CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2 |c:10,16,t:3,13|",L1300-06,a10
513,Ammonium Glycyrrhizinate,S2376,"N.[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@]2([H])O[C@H]2CC[C@@]3(C)[C@@]([H])(CC[C@]4(C)[C@]3([H])C(=O)C=C3[C@]5([H])C[C@](C)(CC[C@]5(C)CC[C@@]43C)C(O)=O)C2(C)C)C(O)=O)O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O |r,t:30|",L1300-06,b10
514,D-Mannitol (Osmitrol),S2381,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO |r|,L1300-06,c10
515,Sorbitol (Glucitol),S2393,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO |r|,L1300-06,d10
516,Cephalomannine,S2408,"[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C(\C)=C\C)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C |r,c:8,10,32,34,t:6,30,38|",L1300-06,e10
517,10-Deacetylbaccatin-III,S2409,"[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C |r,c:25,27,t:23|",L1300-06,f10
518,Paeoniflorin,S2410,"[H][C@@]12C[C@@]3(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@]1(COC(=O)C1=CC=CC=C1)[C@@]1([H])O[C@]2(O)C[C@]3(C)O1 |r,c:25,27,t:23|",L1300-06,g10
519,Geniposide,S2411,"[H][C@]12CC=C(CO)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(=O)OC |r,c:25,t:3|",L1300-06,h10
520,Genipin,S2412,"[H][C@]12CC=C(CO)[C@@]1([H])[C@H](O)OC=C2C(=O)OC |r,c:13,t:3|",L1300-06,a11
521,Geniposidic acid,S2413,"[H][C@]12CC=C(CO)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(O)=O |r,c:25,t:3|",L1300-06,b11
522,Tolbutamide,S2443,"CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1 |c:16,t:11,13|",L1300-06,c11
